filePath,module,fileName,pmnt,tpcbis,csec,wmc,rfc,dc,loc,cloc,lcom2
C:\Users\luchi\Desktop\jfreechart\jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39\src\main\java\org\jfree\chart\axis\DateTickMarkPosition.java,jfreechart.jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39.src.main.java.org.jfree.chart.axis,DateTickMarkPosition,100.0%,0,3,0,0,1.0943396,53.0,58.0,0
C:\Users\luchi\Desktop\jfreechart\jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39\src\main\java\org\jfree\chart\axis\DateTickUnit.java,jfreechart.jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39.src.main.java.org.jfree.chart.axis,DateTickUnit,78.57143%,332,8,20,18,0.6466877,317.0,205.0,26
C:\Users\luchi\Desktop\jfreechart\jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39\src\main\java\org\jfree\chart\axis\DateTickUnitType.java,jfreechart.jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39.src.main.java.org.jfree.chart.axis,DateTickUnitType,100.0%,0,11,1,1,1.1351352,74.0,84.0,0
C:\Users\luchi\Desktop\jfreechart\jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39\src\main\java\org\jfree\chart\axis\ExtendedCategoryAxis.java,jfreechart.jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39.src.main.java.org.jfree.chart.axis,ExtendedCategoryAxis,50.0%,322,12,16,22,0.6478261,230.0,149.0,0
C:\Users\luchi\Desktop\jfreechart\jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39\src\main\java\org\jfree\chart\axis\LogarithmicAxis.java,jfreechart.jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39.src.main.java.org.jfree.chart.axis,LogarithmicAxis,92.59259%,126,14,53,56,0.48264983,951.0,459.0,239
C:\Users\luchi\Desktop\jfreechart\jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39\src\main\java\org\jfree\chart\axis\LogAxis.java,jfreechart.jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39.src.main.java.org.jfree.chart.axis,LogAxis,73.68421%,355,23,81,99,0.46516395,976.0,454.0,454
C:\Users\luchi\Desktop\jfreechart\jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39\src\main\java\org\jfree\chart\axis\LogTick.java,jfreechart.jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39.src.main.java.org.jfree.chart.axis,LogTick,0.0%,1,7,1,1,0.8666667,75.0,65.0,0
C:\Users\luchi\Desktop\jfreechart\jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39\src\main\java\org\jfree\chart\axis\MarkerAxisBand.java,jfreechart.jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39.src.main.java.org.jfree.chart.axis,MarkerAxisBand,50.0%,288,9,16,22,0.58677685,242.0,142.0,0
C:\Users\luchi\Desktop\jfreechart\jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39\src\main\java\org\jfree\chart\axis\ModuloAxis.java,jfreechart.jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39.src.main.java.org.jfree.chart.axis,ModuloAxis,81.25%,32,7,34,30,0.52261305,398.0,208.0,0
C:\Users\luchi\Desktop\jfreechart\jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39\src\main\java\org\jfree\chart\axis\MonthDateFormat.java,jfreechart.jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39.src.main.java.org.jfree.chart.axis,MonthDateFormat,33.333332%,9,4,10,6,0.65652174,230.0,151.0,1
C:\Users\luchi\Desktop\jfreechart\jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39\src\main\java\org\jfree\chart\axis\NumberAxis.java,jfreechart.jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39.src.main.java.org.jfree.chart.axis,NumberAxis,66.666664%,669,35,69,96,0.47563353,1026.0,488.0,484
C:\Users\luchi\Desktop\jfreechart\jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39\src\main\java\org\jfree\chart\axis\NumberTick.java,jfreechart.jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39.src.main.java.org.jfree.chart.axis,NumberTick,100.0%,0,19,1,1,0.86904764,84.0,73.0,0
C:\Users\luchi\Desktop\jfreechart\jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39\src\main\java\org\jfree\chart\axis\NumberTickUnit.java,jfreechart.jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39.src.main.java.org.jfree.chart.axis,NumberTickUnit,50.0%,257,13,8,5,0.7122302,139.0,99.0,0
C:\Users\luchi\Desktop\jfreechart\jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39\src\main\java\org\jfree\chart\axis\NumberTickUnitSource.java,jfreechart.jfreechart-b62b85d0d51c9eede3295d09db030a6105978c39.src.main.java.org.jfree.chart.axis,NumberTickUnitSource,66.666664%,55,6,32,12,0.28444445,225.0,64.0,16
